name,name_variants,papers_with_clevers,first_copublication,last_copublication,group_affiliation_first_year,group_affiliation_last_year,evidence_tier,site,role_assigned,role_source
"Van Es, Johan H","Van Es, J H | Van Es, Johan | Van Es, Johan H | van Es, J | van Es, J H | van Es, Johan | van Es, Johan E | van Es, Johan H",112,1997,2026,2001,2026,A,Hubrecht/NIOB + Princess Máxima + UMC Utrecht Immunology,,
"Van de Wetering, Marc","Van de Wetering, M | Van de Wetering, Marc | van De Wetering, M | van de Wetering, M | van de Wetering, M L | van de Wetering, Marc | van de Wetering, Mark",101,1991,2025,1991,2025,A,Hubrecht/NIOB + Princess Máxima + UMC Utrecht Immunology,,
"Begthel, Harry","Begthel, H | Begthel, Harry",72,2003,2026,2014,2026,A,Hubrecht/NIOB,,
"Barker, Nick","Barker, N | Barker, Nick",61,1997,2025,1999,2012,A,Hubrecht/NIOB + UMC Utrecht Immunology,,
"Peters, Peter J","Peters, P J | Peters, Peter J",48,1989,2026,,,C,,,
"Vries, Robert Gerhardus Jacob","Vries, R G | Vries, Rob | Vries, Robert | Vries, Robert G | Vries, Robert G J | Vries, Robert Gerhardus Jacob | Vries, Robert R G",44,2009,2025,2010,2025,A,Hubrecht/NIOB,,
"Korving, Jeroen","Korving, Jeroen",39,2003,2025,2012,2025,A,Hubrecht/NIOB,,
"Beumer, Joep","Beumer, J | Beumer, Joep",39,2014,2025,2014,2024,A,Hubrecht/NIOB,,
"van den Born, Maaike M W","Van den Born, Maaike | van den Born, Maaike | van den Born, Maaike M W",35,2002,2025,2012,2025,A,Hubrecht/NIOB,,
"Cuppen, Edwin P J G","Cuppen, Edwin | Cuppen, Edwin P J G",34,2003,2024,2013,2016,A,Hubrecht/NIOB,,
"Snippert, Hugo Johannes Gerhardus","Snippert, H | Snippert, Hugo | Snippert, Hugo J | Snippert, Hugo J G | Snippert, Hugo Johannes Gerhardus",31,2008,2025,2009,2025,A,Hubrecht/NIOB + Princess Máxima,,
"van Oudenaarden, Alexander","van Oudenaarden, Alexander",31,2011,2024,2014,2024,A,Hubrecht/NIOB,,
"Boj, Sylvia Fernandez","Boj, Sylvia | Boj, Sylvia F | Boj, Sylvia Fernandez | Boj, Sylvia Fernández",30,2009,2023,2012,2023,A,Hubrecht/NIOB,,
"van Boxtel, Ruben","van Boxtel, Ruben",27,2014,2025,2014,2025,A,Hubrecht/NIOB + Princess Máxima,,
"de Lau, Wim B M","De Lau, W B | De Lau, Wim | de Lau, W | de Lau, W B | de Lau, Wim | de Lau, Wim B M",26,1992,2025,1992,2025,A,Hubrecht/NIOB + Princess Máxima + UMC Utrecht Immunology,,
"Puschhof, Jens","Puschhof, Jens",26,2018,2025,2018,2024,A,Hubrecht/NIOB,,
"Huch, Meritxell","Huch, Meritxell",25,2010,2021,2013,2018,A,Hubrecht/NIOB,,
"Geurts, Maarten H","Geurts, Maarten H",25,2020,2024,2020,2024,A,Hubrecht/NIOB + Princess Máxima,,
"Koo, Bon-Kyoung","Koo, Bon-Kyoung",23,2011,2024,2011,2021,A,Hubrecht/NIOB,,
"Driehuis, Else","Driehuis, E | Driehuis, Else",23,2016,2025,2016,2025,A,Hubrecht/NIOB,,
"Kretzschmar, Kai","Kretzschmar, Kai",23,2016,2024,2016,2024,A,Hubrecht/NIOB + Princess Máxima,,
"Lopez-Iglesias, Carmen","Lopez-Iglesias, Carmen | LÖpez-Iglesias, Carmen | López-Iglesias, Carmen",23,2016,2026,,,C,,,
"Sansom, Owen J","Sansom, Owen J",22,2002,2025,,,C,,,
"Li, Vivian Sze Wing","Li, Vivian S W | Li, Vivian Sze Wing",22,2009,2025,2010,2025,A,Hubrecht/NIOB,,
"Sato, Toshiro","Sato, Toshiro",22,2009,2018,2009,2016,A,Hubrecht/NIOB,,
"Stange, Daniel E","Stange, Daniel | Stange, Daniel E",22,2009,2019,2013,2018,A,Hubrecht/NIOB,,
"Sachs, Norman","Sachs, Norman",22,2012,2021,2013,2021,A,Hubrecht/NIOB,,
"Drost, Jarno","Drost, Jarno",22,2014,2025,2014,2025,A,Hubrecht/NIOB + Princess Máxima,,
"Artegiani, Benedetta","Artegiani, Benedetta",20,2016,2024,2016,2024,A,Hubrecht/NIOB + Princess Máxima,,
"Basak, Onur","Basak, Onur",19,2011,2022,2011,2022,A,Hubrecht/NIOB,,
"Roose, Jeroen P","Roose, J | Roose, Jeroen P",17,1995,2020,1998,1999,A,UMC Utrecht Immunology,,
